,0
564,8.0
565,4.6
566,5.2
567,5.8
568,6.8
569,8.1
570,7.5
571,5.4
572,4.6
573,6.4
574,9.7
575,7.0
576,10.0
577,10.6
578,11.5
579,10.2
580,11.1
581,11.0
582,8.9
583,9.9
584,11.7
585,11.6
586,9.0
587,6.3
588,8.7
589,8.5
590,8.5
591,8.0
592,6.0
593,8.0
594,8.5
595,7.7
596,8.4
597,9.0
598,8.3
599,6.8
600,9.3
601,6.7
602,9.0
603,7.3
604,6.3
605,7.9
606,5.2
607,9.0
608,11.3
609,9.2
610,11.3
611,7.0
612,8.0
613,4.6
614,8.5
615,9.5
616,9.4
617,10.5
618,9.7
619,4.9
620,8.0
621,5.8
622,5.5
623,10.9
624,11.7
625,9.2
626,8.9
627,11.3
628,8.6
629,6.2
630,6.6
631,9.1
632,6.1
633,7.5
634,10.7
635,6.3
636,5.5
637,6.7
638,4.2
639,11.3
640,16.3
641,10.5
642,10.3
643,7.9
644,7.7
645,16.0
646,14.6
647,12.5
648,8.1
649,12.2
650,17.2
651,9.4
652,8.7
653,5.9
654,4.8
655,7.4
656,9.4
657,9.7
658,9.9
659,6.5
660,9.8
661,18.2
662,11.3
663,9.1
664,9.6
665,13.5
666,10.7
667,10.0
668,8.5
669,12.6
670,16.6
671,11.6
672,12.2
673,11.2
674,9.2
675,9.9
676,11.9
677,15.6
678,19.0
679,12.8
680,12.2
681,12.0
682,11.1
683,11.8
684,7.6
685,13.0
686,12.7
687,16.0
688,14.8
689,14.2
690,10.0
691,8.8
692,11.6
693,8.6
694,14.6
695,24.3
696,11.6
697,10.8
698,12.0
699,11.0
700,12.6
701,10.8
702,9.1
703,11.0
704,13.0
705,12.8
706,9.9
707,11.6
708,10.5
709,15.9
710,12.2
711,13.0
712,12.5
713,12.5
714,11.4
715,12.1
716,16.8
717,12.1
718,11.3
719,10.4
720,14.2
721,11.4
722,13.7
723,16.5
724,12.8
725,12.2
726,12.0
727,12.6
728,16.0
729,16.4
730,13.3
731,15.2
732,13.1
733,12.7
734,14.6
735,11.0
736,13.2
737,12.2
738,14.4
739,13.7
740,14.5
741,14.1
742,14.4
743,19.7
744,16.5
745,15.9
746,11.8
747,12.0
748,11.4
749,14.4
750,12.4
751,15.1
752,15.6
753,15.2
754,12.8
755,13.3
756,17.5
757,15.4
758,13.5
759,16.7
760,15.2
761,14.9
762,10.2
763,13.6
764,19.0
765,15.7
766,18.0
767,14.8
768,13.9
769,13.0
770,15.3
771,14.3
772,15.6
773,16.0
774,14.9
775,11.1
776,14.8
777,13.0
778,12.2
779,10.9
780,14.6
781,16.6
782,18.1
783,13.4
784,10.3
785,13.6
786,13.8
787,10.3
788,11.0
789,14.3
790,15.5
791,14.7
792,12.7
793,10.7
794,12.6
795,9.8
796,13.2
797,15.2
798,16.6
799,21.0
800,22.4
801,17.0
802,21.7
803,21.4
804,18.6
805,16.2
806,16.8
807,17.0
808,18.4
809,17.2
810,18.4
811,18.8
812,16.5
813,13.3
814,12.2
815,11.3
816,13.8
817,16.6
818,14.0
819,14.3
820,16.4
821,11.9
822,15.7
823,17.6
824,17.5
825,15.9
826,16.2
827,16.0
828,15.9
829,16.2
830,16.2
831,19.5
832,18.2
833,21.8
834,15.1
835,11.0
836,8.1
837,9.5
838,9.3
839,10.6
840,6.3
841,8.6
842,6.8
843,8.7
844,8.4
845,9.3
846,10.0
847,10.5
848,12.0
849,10.1
850,9.4
851,10.1
852,8.0
853,10.6
854,13.6
855,15.4
856,9.0
857,10.4
858,11.0
859,12.1
860,13.4
861,11.3
862,6.7
863,9.8
864,10.8
865,7.8
866,4.5
867,7.6
868,6.9
869,7.5
870,8.5
871,5.5
872,9.5
873,7.3
874,5.4
875,5.5
876,8.1
877,11.2
878,13.4
879,11.6
880,10.1
881,4.3
882,5.5
883,4.4
884,5.9
885,5.7
886,8.2
887,8.2
888,4.2
889,6.5
890,10.0
891,8.8
892,6.6
893,7.8
894,10.1
895,7.1
896,7.7
897,8.5
898,7.3
899,6.9
900,8.4
901,7.1
902,6.3
903,0.6
904,1.6
905,7.0
906,8.3
907,8.0
908,10.2
909,10.6
910,10.4
911,11.6
912,11.0
913,10.7
914,7.3
915,4.2
916,4.7
917,5.6
918,7.7
919,7.5
920,4.9
921,5.9
922,7.8
923,5.8
924,7.0
925,8.4
926,6.2
927,7.5
928,4.8
929,3.3
930,3.2
931,7.0
932,8.4
933,0.3
934,0.3
935,2.1
936,8.5
937,1.4
938,4.1
939,10.3
940,6.6
941,6.1
942,7.0
943,5.1
944,6.3
945,6.9
946,11.4
947,10.4
948,10.3
949,9.2
950,7.2
951,7.5
952,4.0
953,5.6
954,6.7
955,8.4
956,11.0
957,8.4
958,8.8
959,8.6
960,8.3
961,4.0
962,3.6
963,5.7
964,10.6
965,6.9
966,10.0
967,9.8
968,7.2
969,10.5
970,3.6
971,5.3
972,8.4
973,10.3
974,7.9
975,8.5
976,7.9
977,8.0
978,9.8
979,6.7
980,4.8
981,9.9
982,12.8
983,10.9
984,11.7
985,11.7
986,11.0
987,8.2
988,7.5
989,5.4
990,7.2
991,9.7
992,8.4
993,9.0
994,8.7
995,6.6
996,11.6
997,13.1
998,6.7
999,6.5
1000,7.7
1001,8.7
1002,7.2
1003,10.5
1004,8.6
1005,7.2
1006,11.4
1007,16.2
1008,6.1
1009,9.6
1010,11.1
1011,13.6
1012,10.7
1013,14.7
1014,11.6
1015,7.3
1016,8.0
1017,9.6
1018,16.0
1019,15.1
1020,12.8
1021,6.2
1022,7.1
1023,8.4
1024,10.0
1025,12.7
1026,10.0
1027,10.2
1028,6.5
1029,9.2
1030,11.9
1031,14.7
1032,11.4
1033,6.8
1034,7.4
1035,11.2
1036,9.2
1037,12.6
1038,16.0
1039,17.1
1040,15.3
1041,13.3
1042,15.4
1043,13.2
1044,14.4
1045,14.0
1046,15.5
1047,21.0
1048,10.0
1049,9.6
1050,12.0
1051,12.2
1052,11.3
1053,13.2
1054,10.5
1055,10.1
1056,8.8
1057,13.7
1058,16.2
1059,16.0
1060,14.0
1061,13.7
1062,12.5
1063,12.8
1064,12.3
1065,15.2
1066,15.0
1067,16.4
1068,16.1
1069,14.6
1070,18.2
1071,16.4
1072,16.6
1073,14.7
1074,15.8
1075,14.1
1076,13.5
1077,13.6
1078,13.7
1079,13.6
1080,12.1
1081,12.7
1082,13.3
1083,14.2
1084,15.0
1085,13.7
1086,12.0
1087,13.1
1088,13.2
1089,13.3
1090,11.5
1091,10.8
1092,12.0
1093,16.3
1094,14.4
1095,12.9
1096,13.8
1097,10.6
1098,12.6
1099,13.7
1100,12.6
1101,13.1
1102,15.4
1103,11.9
1104,13.8
1105,14.4
1106,15.2
1107,12.5
1108,12.2
1109,16.1
1110,14.6
1111,11.6
1112,13.1
1113,12.8
1114,15.2
1115,13.8
1116,15.0
1117,13.5
1118,11.8
1119,15.3
1120,13.5
1121,15.3
1122,13.8
1123,15.8
1124,17.4
1125,15.3
1126,14.6
1127,14.8
1128,10.7
1129,11.6
1130,13.6
1131,14.4
1132,11.8
1133,15.8
1134,16.0
1135,11.8
1136,14.5
1137,10.7
1138,14.2
1139,19.5
1140,21.4
1141,17.9
1142,17.4
1143,12.7
1144,13.8
1145,14.0
1146,15.0
1147,14.5
1148,13.1
1149,11.4
1150,12.5
1151,12.0
1152,13.4
1153,14.4
1154,17.7
1155,13.9
1156,13.3
1157,14.6
1158,16.4
1159,16.8
1160,20.0
1161,12.5
1162,12.7
1163,11.7
1164,12.7
1165,8.6
1166,11.9
1167,16.0
1168,15.2
1169,13.4
1170,11.6
1171,11.1
1172,15.6
1173,17.0
1174,18.5
1175,17.4
1176,16.5
1177,16.2
1178,16.1
1179,13.2
1180,18.0
1181,12.8
1182,11.7
1183,16.7
1184,15.6
1185,10.2
1186,10.3
1187,15.0
1188,18.0
1189,13.8
1190,10.5
1191,11.8
1192,7.2
1193,11.6
1194,7.4
1195,14.2
1196,12.2
1197,9.0
1198,12.3
1199,19.7
1200,12.8
1201,12.4
1202,12.0
1203,12.0
1204,11.1
1205,12.7
1206,14.2
1207,11.6
1208,12.0
1209,11.5
1210,8.3
1211,10.5
1212,9.0
1213,6.9
1214,9.4
1215,11.1
1216,9.1
1217,7.7
1218,10.0
1219,10.4
1220,8.0
1221,9.8
1222,12.4
1223,12.9
1224,12.3
1225,6.9
1226,10.5
1227,11.0
1228,9.7
1229,11.1
1230,11.5
1231,13.4
1232,10.9
1233,12.0
1234,12.1
1235,10.4
1236,10.0
1237,9.6
1238,11.3
1239,8.5
1240,6.3
1241,8.2
1242,10.7
1243,10.3
1244,9.5
1245,10.9
1246,10.9
1247,4.3
1248,5.2
1249,11.0
1250,11.6
1251,10.6
1252,9.4
1253,10.0
1254,9.6
1255,9.5
1256,9.7
1257,9.6
1258,7.0
1259,7.0
1260,6.8
1261,6.9
1262,8.0
1263,7.6
1264,8.6
1265,5.7
1266,5.5
1267,5.7
1268,5.7
1269,6.6
1270,6.0
1271,6.9
1272,7.7
1273,8.0
1274,3.9
1275,0.8
1276,2.8
1277,8.0
1278,9.8
1279,11.4
1280,8.6
1281,5.2
1282,6.6
1283,5.7
1284,4.6
1285,5.8
1286,7.0
1287,4.8
1288,4.4
1289,4.4
1290,7.9
1291,10.6
1292,5.0
1293,7.6
1294,9.2
1295,9.7
1296,8.8
1297,6.8
1298,9.4
1299,11.0
1300,2.5
1301,2.1
1302,5.4
1303,6.2
1304,7.8
1305,7.4
1306,9.3
1307,9.3
1308,9.5
1309,8.5
1310,10.0
1311,7.7
1312,9.3
1313,9.1
1314,3.5
1315,3.6
1316,2.5
1317,1.7
1318,2.7
1319,2.9
1320,5.3
1321,7.7
1322,9.1
1323,9.4
1324,7.3
1325,8.4
1326,9.2
1327,6.6
1328,9.7
1329,12.4
1330,10.2
1331,5.9
1332,7.1
1333,7.5
1334,9.7
1335,12.2
1336,5.6
1337,5.4
1338,8.3
1339,10.6
1340,9.1
1341,11.3
1342,10.9
1343,8.9
1344,6.3
1345,9.0
1346,6.1
1347,9.1
1348,9.6
1349,6.0
1350,10.0
1351,11.0
1352,6.2
1353,8.3
1354,11.3
1355,11.3
1356,6.7
1357,6.6
1358,11.4
1359,6.9
1360,10.6
1361,8.6
1362,11.3
1363,12.5
1364,9.9
1365,6.9
1366,5.5
1367,7.8
1368,11.0
1369,16.2
1370,9.9
1371,8.7
1372,10.5
1373,12.2
1374,10.6
1375,8.3
1376,5.5
1377,9.0
1378,6.4
1379,7.2
1380,12.9
1381,12.0
1382,7.3
1383,9.7
1384,8.4
1385,14.7
1386,9.5
1387,7.9
1388,6.8
1389,12.6
1390,5.2
1391,7.5
1392,8.7
1393,7.6
1394,9.0
1395,7.2
1396,10.7
1397,13.1
1398,13.9
1399,10.8
1400,10.4
1401,9.1
1402,16.0
1403,21.0
1404,16.2
1405,8.6
1406,9.2
1407,12.5
1408,9.7
1409,12.5
1410,10.3
1411,12.0
1412,11.0
1413,14.8
1414,15.0
1415,15.3
1416,10.3
1417,10.7
1418,10.5
1419,8.9
1420,8.1
1421,11.5
1422,12.8
1423,9.1
1424,14.6
1425,11.6
1426,11.2
1427,12.6
1428,7.5
1429,11.0
1430,14.5
1431,18.5
1432,15.4
1433,13.1
1434,16.3
1435,20.2
1436,11.5
1437,12.4
1438,10.9
1439,12.7
1440,12.2
1441,12.4
1442,9.8
1443,8.5
1444,14.7
1445,12.0
1446,10.3
1447,11.0
1448,10.2
1449,12.6
1450,11.6
1451,9.7
1452,13.4
1453,10.5
1454,14.7
1455,14.6
1456,14.2
1457,13.2
1458,11.7
1459,17.2
1460,12.3
1461,13.8
1462,15.3
1463,15.6
1464,16.2
1465,16.3
1466,16.8
1467,11.0
1468,8.5
1469,13.2
1470,13.0
1471,12.4
1472,13.0
1473,16.6
1474,12.0
1475,12.4
1476,15.0
1477,11.8
1478,11.6
1479,12.2
1480,13.7
1481,11.2
1482,12.4
1483,11.5
1484,13.8
1485,15.7
1486,12.9
1487,11.5
1488,11.0
1489,12.7
1490,14.9
1491,16.5
1492,12.8
1493,12.7
1494,12.7
1495,11.6
1496,13.3
1497,15.2
1498,16.4
1499,11.9
1500,15.1
1501,10.6
1502,13.6
1503,12.1
1504,16.0
1505,16.8
1506,16.6
1507,15.6
1508,15.2
1509,17.7
1510,21.0
1511,13.4
1512,10.5
1513,9.5
1514,12.0
1515,10.4
1516,11.5
1517,13.2
1518,15.0
1519,14.1
1520,12.4
1521,13.4
1522,12.5
1523,14.3
1524,17.6
1525,10.4
1526,9.9
1527,10.2
1528,11.3
1529,9.5
1530,11.8
1531,11.5
1532,10.5
1533,10.8
1534,13.0
1535,18.5
1536,18.7
1537,15.0
1538,13.0
1539,11.3
1540,13.0
1541,13.3
1542,11.0
1543,10.3
1544,13.0
1545,12.3
1546,15.6
1547,10.2
1548,10.8
1549,12.0
1550,13.3
1551,11.7
1552,12.5
1553,13.7
1554,14.9
1555,20.2
1556,16.3
1557,13.9
1558,10.1
1559,7.3
1560,14.0
1561,17.7
1562,16.3
1563,10.6
1564,9.7
1565,7.8
1566,10.4
1567,10.4
1568,14.1
1569,7.1
1570,8.1
1571,7.8
1572,10.6
1573,9.1
1574,9.0
1575,11.9
1576,17.1
1577,16.8
1578,13.5
1579,11.6
1580,7.0
1581,9.7
1582,9.9
1583,11.2
1584,11.3
1585,11.8
1586,9.9
1587,7.1
1588,9.6
1589,9.8
1590,10.6
1591,12.8
1592,16.5
1593,11.7
1594,12.3
1595,12.2
1596,11.8
1597,10.7
1598,10.2
1599,10.0
1600,8.3
1601,6.6
1602,9.5
1603,12.3
1604,7.6
1605,9.3
1606,5.0
1607,4.3
1608,6.4
1609,10.8
1610,7.8
1611,8.5
1612,9.7
1613,10.0
1614,11.0
1615,10.2
1616,6.6
1617,6.1
1618,5.9
1619,8.9
1620,13.0
1621,12.6
1622,5.4
1623,6.0
1624,7.8
1625,9.0
1626,4.2
1627,3.0
1628,4.5
1629,6.2
1630,11.9
1631,11.8
1632,9.4
1633,9.6
1634,9.4
1635,7.0
1636,8.9
1637,9.3
1638,6.8
1639,7.5
1640,8.0
1641,8.3
1642,2.7
1643,3.9
1644,4.1
1645,5.0
1646,5.8
1647,4.4
1648,4.1
1649,5.8
1650,9.1
1651,7.9
1652,5.0
1653,2.8
1654,4.7
1655,8.9
1656,5.4
1657,7.1
1658,9.0
1659,9.4
1660,6.3
1661,7.0
1662,6.4
1663,6.7
1664,1.5
1665,2.9
1666,4.8
1667,6.3
1668,5.7
1669,7.0
1670,8.8
1671,8.7
1672,9.0
1673,9.6
1674,8.0
1675,8.4
1676,8.1
1677,9.0
1678,5.3
1679,8.9
1680,8.7
1681,4.9
1682,7.0
1683,7.5
1684,7.0
1685,9.1
1686,11.8
1687,9.9
1688,5.6
1689,4.2
1690,4.3
1691,8.0
1692,5.1
1693,9.4
1694,9.1
1695,9.7
1696,10.6
1697,8.6
1698,10.1
1699,11.0
1700,9.7
1701,5.0
1702,6.1
1703,5.4
1704,5.8
1705,7.3
1706,6.3
1707,4.8
1708,7.6
1709,8.1
1710,9.5
1711,10.3
1712,7.0
1713,9.0
1714,10.2
1715,6.8
1716,9.3
1717,9.8
1718,10.7
1719,7.8
1720,9.2
1721,15.0
1722,7.8
1723,5.3
1724,9.5
1725,7.6
1726,14.0
1727,14.9
1728,14.9
1729,19.2
1730,17.0
1731,13.0
1732,11.2
1733,9.5
1734,10.3
1735,9.3
1736,11.3
1737,6.5
1738,12.0
1739,8.3
1740,8.7
1741,8.7
1742,10.2
1743,6.9
1744,4.9
1745,10.0
1746,7.6
1747,14.5
1748,13.2
1749,9.9
1750,10.1
1751,11.3
1752,10.4
1753,10.9
1754,9.2
1755,10.5
1756,11.4
1757,13.5
1758,9.8
1759,13.1
1760,9.7
1761,11.4
1762,9.9
1763,14.4
1764,19.0
1765,23.0
1766,15.4
1767,9.6
1768,10.8
1769,12.1
1770,11.0
1771,12.6
1772,14.7
1773,11.1
1774,10.1
1775,11.4
1776,13.0
1777,11.9
1778,9.5
1779,13.5
1780,15.2
1781,18.4
1782,24.1
1783,14.1
1784,10.7
1785,8.7
1786,13.3
1787,11.6
1788,9.9
1789,10.8
1790,11.5
1791,10.0
1792,13.9
1793,13.6
1794,11.9
1795,11.1
1796,8.2
1797,9.4
1798,12.7
1799,11.6
1800,11.0
1801,11.3
1802,13.4
1803,14.9
1804,15.2
1805,13.9
1806,15.0
1807,16.2
1808,17.7
1809,20.5
1810,14.7
1811,12.5
1812,10.9
1813,12.8
1814,12.7
1815,11.2
1816,11.4
1817,11.2
1818,12.1
1819,12.7
1820,16.2
1821,14.2
1822,14.3
1823,13.3
1824,16.7
1825,15.3
1826,14.3
1827,13.5
1828,15.0
1829,13.6
1830,15.2
1831,17.0
1832,18.7
1833,16.5
1834,17.4
1835,18.3
1836,18.3
1837,22.4
1838,21.4
1839,20.9
1840,17.6
1841,15.5
1842,16.6
1843,16.2
1844,15.6
1845,14.5
1846,14.0
1847,15.6
1848,12.3
1849,11.6
1850,12.6
1851,14.9
1852,17.3
1853,21.4
1854,23.4
1855,14.4
1856,14.1
1857,15.0
1858,14.5
1859,15.1
1860,13.9
1861,13.4
1862,9.2
1863,12.5
1864,15.1
1865,12.1
1866,14.5
1867,16.3
1868,16.5
1869,14.9
1870,13.2
1871,11.8
1872,13.6
1873,16.2
1874,14.1
1875,13.5
1876,15.0
1877,14.8
1878,16.2
1879,16.2
1880,13.3
1881,15.3
1882,18.4
1883,16.2
1884,16.3
1885,12.4
1886,15.6
1887,14.9
1888,14.8
1889,12.7
1890,14.2
1891,16.8
1892,16.7
1893,16.2
1894,14.5
1895,10.0
1896,12.6
1897,11.9
1898,11.8
1899,13.4
1900,14.5
1901,15.7
1902,15.3
1903,13.9
1904,13.7
1905,15.1
1906,15.6
1907,14.4
1908,13.9
1909,16.2
1910,16.7
1911,15.5
1912,16.4
1913,17.5
1914,18.2
1915,16.1
1916,16.5
1917,14.6
1918,16.4
1919,13.6
1920,15.9
1921,11.9
1922,14.7
1923,9.4
1924,6.6
1925,7.9
1926,11.0
1927,15.7
1928,15.2
1929,15.9
1930,10.6
1931,8.3
1932,8.6
1933,12.7
1934,10.5
1935,12.0
1936,11.1
1937,13.0
1938,12.4
1939,13.3
1940,15.9
1941,12.0
1942,13.7
1943,17.6
1944,14.3
1945,13.7
1946,15.2
1947,14.5
1948,14.9
1949,15.5
1950,16.4
1951,14.5
1952,12.6
1953,13.6
1954,11.2
1955,11.0
1956,12.0
1957,6.8
1958,10.6
1959,13.1
1960,13.5
1961,11.7
1962,13.2
1963,12.0
1964,10.4
1965,10.0
1966,8.2
1967,9.4
1968,10.3
1969,8.1
1970,8.7
1971,12.6
1972,10.9
1973,8.7
1974,9.3
1975,6.3
1976,7.8
1977,10.0
1978,11.0
1979,11.1
1980,12.6
1981,10.2
1982,11.1
1983,8.7
1984,9.5
1985,9.7
1986,8.2
1987,5.0
1988,6.5
1989,12.1
1990,8.9
1991,6.1
1992,2.8
1993,3.7
1994,6.8
1995,6.6
1996,7.0
1997,7.3
1998,7.9
1999,10.6
2000,8.1
2001,6.7
2002,8.0
2003,10.0
2004,6.7
2005,9.4
2006,9.3
2007,6.0
2008,5.8
2009,4.9
2010,5.0
2011,8.4
2012,12.3
2013,13.0
2014,11.4
2015,6.8
2016,7.6
2017,12.4
2018,7.1
2019,7.5
2020,10.0
2021,5.3
2022,6.3
2023,8.0
2024,8.3
2025,9.3
2026,9.5
2027,5.6
2028,7.0
2029,8.5
2030,8.5
2031,8.2
2032,8.5
2033,9.6
2034,9.7
2035,7.1
2036,8.4
2037,9.2
2038,9.8
2039,8.1
2040,9.4
2041,10.0
2042,5.1
2043,6.7
2044,6.9
2045,6.8
2046,8.6
2047,9.1
2048,3.9
2049,4.8
2050,8.4
2051,11.6
2052,12.1
2053,12.4
2054,10.0
2055,10.1
2056,9.7
2057,11.7
2058,7.9
2059,8.6
2060,7.7
2061,5.8
2062,8.7
2063,10.6
2064,6.7
2065,8.8
2066,9.7
2067,9.0
2068,11.8
2069,15.2
2070,10.0
2071,10.5
2072,5.5
2073,9.4
2074,8.8
2075,5.3
2076,13.0
2077,15.2
2078,13.2
2079,11.5
2080,6.8
2081,4.7
2082,5.2
2083,6.8
2084,10.7
2085,10.1
2086,10.0
2087,9.8
2088,5.5
2089,13.5
2090,16.6
2091,8.4
2092,8.2
2093,11.1
2094,10.8
2095,8.8
2096,10.8
2097,8.7
2098,12.4
2099,9.0
2100,13.5
2101,14.7
2102,10.9
2103,8.5
2104,6.0
2105,12.7
2106,11.1
2107,8.7
2108,12.3
2109,13.3
2110,5.6
2111,13.7
2112,8.5
2113,11.2
2114,8.7
2115,11.7
2116,12.5
2117,8.2
2118,15.6
2119,10.3
2120,11.4
2121,9.7
2122,6.3
2123,14.3
2124,11.3
2125,7.3
2126,12.8
2127,11.9
2128,14.3
2129,11.6
2130,13.2
2131,15.5
2132,14.1
2133,9.5
2134,7.2
2135,11.8
2136,16.8
2137,12.5
2138,9.4
2139,11.9
2140,10.3
2141,16.9
